timestep,reward,terminated,model_name,action_1,action_2,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_26,state_27,state_28,state_29,state_30,state_31,state_32,state_33,state_34,state_35,state_36,state_37,state_38,state_39,state_40,state_41,state_42,state_43,state_44,state_45,state_46,state_47,state_48,state_49,state_50,state_51,state_52,state_53,state_54,state_55,state_56,state_57,state_58,state_59,state_60,state_61,state_62,state_63,state_64,state_65,state_66,state_67,state_68,state_69,state_70,state_71,state_72,state_73,state_74,state_75,state_76,state_77,state_78,state_79,state_80,state_81,state_82,state_83,state_84,state_85,state_86,state_87,state_88,state_89,state_90,state_91,state_92,state_93,state_94,state_95,state_96,state_97,state_98,state_99,state_100,state_101,state_102,state_103,state_104,state_105,state_106,state_107,state_108,state_109,state_110,state_111,state_112,state_113,state_114,state_115,state_116,state_117,state_118,state_119,state_120,state_121,state_122,state_123,state_124,state_125,state_126,state_127,state_128,state_129,state_130,state_131,state_132,state_133,state_134,state_135,state_136,state_137,state_138,state_139,state_140,state_141,state_142,state_143,state_144,state_145,state_146,state_147,state_148,state_149,state_150,state_151,state_152,state_153,state_154,state_155,state_156,state_157,state_158,state_159,state_160,state_161,state_162,state_163,state_164,state_165,state_166,state_167,state_168,state_169,state_170,state_171,state_172,state_173,state_174,state_175,state_176,state_177,state_178,state_179,state_180,state_181,state_182,state_183
0,-0.1666671784194119,False,ECC_2025_models/ECC_2025_hp_from_gz/20241022_144549/rl_model_900000_steps.zip,0.96402764,0.9314723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8555714,1.0,1.0,1.0,1.0,1.0,0.9917143,0.9622857,0.94214284,0.91257143,0.894,0.87714285,0.60742855,0.8464286,0.8337143,0.82357144,0.8122857,0.40314287,0.76685715,0.7755714,0.78314286,0.778,0.7731429,0.77042854,0.7682857,0.76857144,0.7081429,0.7662857,0.7024286,0.776,0.77757144,0.7822857,0.3927143,0.7911429,0.79828566,0.782,0.7475714,0.82685715,0.82914287,0.77328575,0.722,0.67985713,0.64285713,0.6087143,0.57914287,0.55285716,0.53000003,0.49314284,0.4765714,0.472,0.46085715,0.44614285,0.43285713,0.42157143,0.40899998,0.3997143,0.392,0.38428572,0.37814286,0.372,0.36685714,0.3617143,0.35757142,0.35314283,0.3502857,0.34742856,0.3452857,0.34085712,0.34042856,0.3382857,0.33714285,0.33699998,0.3385714,0.33885714,0.33942857,0.3342857,0.332,0.33528572,0.33714285,0.34557143,0.35628572,0.36057144,0.366,0.37142858,0.379,0.3857143,0.39342856,0.40114287,0.40985712,0.42000002,0.43071428,0.44285712,0.4555714,0.47,0.48542857,0.50457144,0.5237143,0.5425714,0.57,0.59271425,0.5285714,0.6892857,0.7305714,0.78228575,0.6991429,0.444,0.5657143,0.566,0.5742857,0.7505714,0.92085713,0.9168571,0.9114286,0.90685713,0.807,0.9134286,0.30357143,0.902,0.90314287,0.90342855,0.45642856,0.92085713,0.68557143,0.9285714,0.9365714,0.9465714,0.9567143,0.97085714,0.80614287,0.7968572,0.80571425,0.82685715,1.0,0.8614286,0.8742857,1.0,0.936,0.95028573,0.97742856,1.0,0.7494286,1.0,1.0,1.0,1.0,1.0,0.6998572,1.0,0.763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666667
1,-0.1666671784194119,False,,0.96402764,0.96402764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8555714,1.0,1.0,1.0,1.0,1.0,0.9917143,0.9622857,0.94214284,0.91257143,0.894,0.87714285,0.60742855,0.8464286,0.8337143,0.82357144,0.8122857,0.40314287,0.76685715,0.7755714,0.78314286,0.778,0.7731429,0.77042854,0.7682857,0.76857144,0.7081429,0.7662857,0.7024286,0.776,0.77757144,0.7822857,0.3927143,0.7911429,0.79828566,0.782,0.7475714,0.82685715,0.82914287,0.77328575,0.722,0.67985713,0.64285713,0.6087143,0.57914287,0.55285716,0.53000003,0.49314284,0.4765714,0.472,0.46085715,0.44614285,0.43285713,0.42157143,0.40899998,0.3997143,0.392,0.38428572,0.37814286,0.372,0.36685714,0.3617143,0.35757142,0.35314283,0.3502857,0.34742856,0.3452857,0.34085712,0.34042856,0.3382857,0.33714285,0.33699998,0.3385714,0.33885714,0.33942857,0.3342857,0.332,0.33528572,0.33714285,0.34557143,0.35628572,0.36057144,0.366,0.37142858,0.379,0.3857143,0.39342856,0.40114287,0.40985712,0.42000002,0.43071428,0.44285712,0.4555714,0.47,0.48542857,0.50457144,0.5237143,0.5425714,0.57,0.59271425,0.5285714,0.6892857,0.7305714,0.78228575,0.6991429,0.444,0.5657143,0.566,0.5742857,0.7505714,0.92085713,0.9168571,0.9114286,0.90685713,0.807,0.9134286,0.30357143,0.902,0.90314287,0.90342855,0.45642856,0.92085713,0.68557143,0.9285714,0.9365714,0.9465714,0.9567143,0.97085714,0.80614287,0.7968572,0.80571425,0.82685715,1.0,0.8614286,0.8742857,1.0,0.936,0.95028573,0.97742856,1.0,0.7494286,1.0,1.0,1.0,1.0,1.0,0.6998572,1.0,0.763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666667
2,-0.1666671784194119,False,,0.96402764,0.96402764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8555714,1.0,1.0,1.0,1.0,1.0,0.9917143,0.9622857,0.94214284,0.91257143,0.894,0.87714285,0.60742855,0.8464286,0.8337143,0.82357144,0.8122857,0.40314287,0.76685715,0.7755714,0.78314286,0.778,0.7731429,0.77042854,0.7682857,0.76857144,0.7081429,0.7662857,0.7024286,0.776,0.77757144,0.7822857,0.3927143,0.7911429,0.79828566,0.782,0.7475714,0.82685715,0.82914287,0.77328575,0.722,0.67985713,0.64285713,0.6087143,0.57914287,0.55285716,0.53000003,0.49314284,0.4765714,0.472,0.46085715,0.44614285,0.43285713,0.42157143,0.40899998,0.3997143,0.392,0.38428572,0.37814286,0.372,0.36685714,0.3617143,0.35757142,0.35314283,0.3502857,0.34742856,0.3452857,0.34085712,0.34042856,0.3382857,0.33714285,0.33699998,0.3385714,0.33885714,0.33942857,0.3342857,0.332,0.33528572,0.33714285,0.34557143,0.35628572,0.36057144,0.366,0.37142858,0.379,0.3857143,0.39342856,0.40114287,0.40985712,0.42000002,0.43071428,0.44285712,0.4555714,0.47,0.48542857,0.50457144,0.5237143,0.5425714,0.57,0.59271425,0.5285714,0.6892857,0.7305714,0.78228575,0.6991429,0.444,0.5657143,0.566,0.5742857,0.7505714,0.92085713,0.9168571,0.9114286,0.90685713,0.807,0.9134286,0.30357143,0.902,0.90314287,0.90342855,0.45642856,0.92085713,0.68557143,0.9285714,0.9365714,0.9465714,0.9567143,0.97085714,0.80614287,0.7968572,0.80571425,0.82685715,1.0,0.8614286,0.8742857,1.0,0.936,0.95028573,0.97742856,1.0,0.7494286,1.0,1.0,1.0,1.0,1.0,0.6998572,1.0,0.763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666667
3,-2.1666666666666665,False,,0.96402764,0.96402764,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
4,-2.1666666666666665,False,,0.96402764,-0.120937645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
5,-2.1666666666666665,False,,0.96402764,-0.120937645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
6,-2.1666666666666665,False,,0.96402764,-0.120937645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
7,-2.1666666666666665,False,,0.96402764,-0.120937645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
8,-2.1666666666666665,False,,0.96402764,-0.120937645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
9,-2.1666666666666665,False,,0.96402764,-0.120937645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.95857143,0.92871433,0.9082857,0.88942856,0.87285715,0.7304286,0.8454286,0.8324286,0.82114285,0.81142855,0.8025714,0.7154286,0.7854286,0.78328574,0.7771429,0.77328575,0.7691428,0.7677143,0.70371425,0.7691428,0.705,0.77114284,0.76028574,0.7782857,0.7835714,0.788,0.7864286,0.8051429,0.8092857,0.68314284,0.8297143,0.78400004,0.732,0.689,0.6514286,0.61614287,0.5857143,0.5584286,0.5342857,0.50442857,0.4797143,0.47285715,0.46314287,0.4485714,0.4362857,0.42442855,0.41042858,0.40199998,0.39371428,0.38542858,0.37928572,0.37342858,0.36828572,0.36314288,0.35842857,0.35457143,0.351,0.3482857,0.34485716,0.34342858,0.34157142,0.3382857,0.33714285,0.33714285,0.33685714,0.33771428,0.33942857,0.33714285,0.3317143,0.33342856,0.33714285,0.34214285,0.35514286,0.35957143,0.3642857,0.3697143,0.3777143,0.384,0.39142856,0.39942858,0.407,0.4165714,0.42714283,0.43885714,0.4514286,0.46571428,0.48142856,0.49771428,0.51757145,0.53885716,0.563,0.5857143,0.5245714,0.6775714,0.718,0.7684286,0.8257143,0.42914286,0.5794286,0.56471425,0.5725714,0.28771427,0.9242857,0.919,0.91171426,0.9077143,0.8047143,0.9002857,0.6087143,0.90000004,0.90314287,0.9054285,0.773,0.914,0.68685716,0.9291429,0.9384286,0.94600004,0.9532857,0.9662857,0.9794286,0.79414284,0.80399996,0.8191429,1.0,0.86,0.8688571,0.8895714,0.9614286,0.9457143,0.968,0.5162857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.0,1.0,1.0,1.0,0.5,0.16666667
