timestep,reward,terminated,model_name,action_1,action_2,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_26,state_27,state_28,state_29,state_30,state_31,state_32,state_33,state_34,state_35,state_36,state_37,state_38,state_39,state_40,state_41,state_42,state_43,state_44,state_45,state_46,state_47,state_48,state_49,state_50,state_51,state_52,state_53,state_54,state_55,state_56,state_57,state_58,state_59,state_60,state_61,state_62,state_63,state_64,state_65,state_66,state_67,state_68,state_69,state_70,state_71,state_72,state_73,state_74,state_75,state_76,state_77,state_78,state_79,state_80,state_81,state_82,state_83,state_84,state_85,state_86,state_87,state_88,state_89,state_90,state_91,state_92,state_93,state_94,state_95,state_96,state_97,state_98,state_99,state_100,state_101,state_102,state_103,state_104,state_105,state_106,state_107,state_108,state_109,state_110,state_111,state_112,state_113,state_114,state_115,state_116,state_117,state_118,state_119,state_120,state_121,state_122,state_123,state_124,state_125,state_126,state_127,state_128,state_129,state_130,state_131,state_132,state_133,state_134,state_135,state_136,state_137,state_138,state_139,state_140,state_141,state_142,state_143,state_144,state_145,state_146,state_147,state_148,state_149,state_150,state_151,state_152,state_153,state_154,state_155,state_156,state_157,state_158,state_159,state_160,state_161,state_162,state_163,state_164,state_165,state_166,state_167,state_168,state_169,state_170,state_171,state_172,state_173,state_174,state_175,state_176,state_177,state_178,state_179,state_180,state_181,state_182,state_183
0,-0.25033551761970074,False,ECC_2025_models/ECC_2025_hp_from_gz/20241022_144549/rl_model_900000_steps.zip,0.96402764,-0.9640276,0.34299618,0.34083804,0.34049052,0.34305364,0.34322008,0.34316707,0.34367087,0.34997484,0.35141626,0.35855982,0.3606998,0.3681781,0.37133458,0.38233453,0.38729945,0.3934588,0.7671205,0.78694516,0.8092292,0.8220935,0.8497619,0.879059,0.9115085,0.9308548,0.89706933,0.87298864,0.85079145,0.82682234,0.8047611,0.7930419,0.7740479,0.75288814,0.74248755,0.7301465,0.72545755,0.7124221,0.4426239,0.434592,0.43076125,0.4281623,0.42284212,0.4231863,0.42381006,0.41476792,0.41676095,0.41775796,0.42220753,0.42062587,0.4196523,0.42632398,0.4243347,0.43086222,0.43330958,0.43998995,0.44260263,0.71916354,0.7298164,0.7427302,0.7474783,0.76587665,0.7212492,0.19606769,0.18242109,0.17854455,0.16154416,0.15774204,0.15346265,0.14297804,0.14303331,0.14330082,0.12808117,0.12901546,0.12479321,0.1204933,0.11804928,0.11928959,0.11787502,0.11863254,0.11228748,0.110471606,0.11149668,0.10567565,0.106923416,0.106898054,0.10999028,0.10993497,0.10486045,0.105965555,0.106633805,0.10249187,0.098532066,0.10213929,0.105091885,0.103285484,0.102038935,0.10797999,0.10172878,0.1078398,0.10482858,0.11081147,0.10933872,0.11288052,0.1159231,0.11774369,0.12068637,0.12255225,0.122531906,0.12692715,0.121886365,0.13301186,0.1352004,0.14502524,0.14928143,0.15615155,0.5261541,0.5113283,0.49598598,0.48342457,0.4745386,0.46056384,0.45132324,0.4449165,0.43540832,0.42744073,0.42183277,0.42220226,0.41435105,0.42365974,0.69153637,0.6815322,0.67799056,0.67578346,0.67289823,0.67089367,0.6727118,0.6713459,0.6732208,0.6745772,0.6729389,0.68338263,0.68660355,0.6880211,0.69117457,0.70316833,0.6496288,0.59329045,0.54819995,0.50512016,0.46802497,0.4453387,0.4569378,0.47342983,0.8239915,0.8459657,0.8678096,0.90069395,0.929572,0.9657864,1.0,1.0,1.0,1.0,0.75378376,0.7331858,0.72176,0.70786583,0.69753283,0.6879586,0.6667614,0.6636901,0.65728253,0.6464471,0.64395446,0.3503056,0.34490138,0.33931494,0.347281,0.33979276,0.33852634,0.34108564,0.85192263,0.14482336,0.23583333
1,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85192263,0.14482336,0.23583333
2,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85192263,0.14482336,0.23583333
3,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85192263,0.14482336,0.23583333
4,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85192263,0.14482336,0.23583333
5,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85545677,0.1483603,0.23583333
6,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85545677,0.1483603,0.23583333
7,-0.2505149749763149,False,,0.96402764,-0.9640276,0.34255528,0.3432694,0.34430608,0.3386523,0.34880903,0.3483348,0.34530908,0.34843844,0.35145074,0.36168122,0.3619885,0.36890846,0.3732326,0.38372427,0.38474566,0.38729504,0.76802444,0.78638,0.8065513,0.8226327,0.8538548,0.8799518,0.9100955,0.92536736,0.8975052,0.8706845,0.8473194,0.83426934,0.8089016,0.78999627,0.7671774,0.76911414,0.7430167,0.73224634,0.72361815,0.7155412,0.43908054,0.43534288,0.43161628,0.43020198,0.42553025,0.43022022,0.4245817,0.4196873,0.4200236,0.42031664,0.42480916,0.41953543,0.42123595,0.42664388,0.43296933,0.43243474,0.43792596,0.43780258,0.44987014,0.71567667,0.73006094,0.73288304,0.7502573,0.76557153,0.7218536,0.19258928,0.18355194,0.1742234,0.16061461,0.158147,0.14867799,0.15063842,0.14092927,0.13447046,0.13080567,0.13282314,0.1265145,0.12530385,0.12567559,0.12010419,0.11470641,0.113469355,0.11314159,0.10923167,0.11031743,0.1076864,0.10375996,0.1096257,0.10308461,0.10788176,0.10534109,0.10812535,0.10147752,0.10400544,0.10469957,0.10632305,0.09828609,0.10805254,0.10342233,0.10626697,0.11130951,0.10832649,0.10862128,0.11374245,0.110748105,0.114517994,0.10991621,0.120306395,0.11775697,0.12431107,0.12001296,0.1255941,0.12834857,0.13041304,0.13599734,0.139549,0.14610276,0.15334167,0.52572364,0.5089563,0.4940098,0.48774034,0.47165695,0.46976393,0.45267445,0.444,0.43454906,0.43916988,0.42382392,0.4181014,0.41415066,0.4237401,0.6876044,0.6809,0.6797514,0.6771227,0.67206657,0.6713274,0.6703494,0.67391354,0.67341,0.67283326,0.675151,0.6786855,0.68373835,0.6885156,0.69857264,0.70451224,0.6539944,0.59422845,0.54514784,0.51047957,0.47271198,0.446664,0.45909852,0.4671952,0.8244591,0.84593546,0.87340575,0.8965301,0.9253626,0.96329796,0.9955741,1.0,1.0,1.0,0.7533217,0.7376091,0.72623676,0.70446974,0.6922142,0.68380433,0.67318004,0.6639746,0.6528973,0.65146416,0.63923806,0.3494518,0.34374076,0.34467962,0.34460422,0.33680692,0.34117147,0.3388338,0.85545677,0.1483603,0.23583333
8,-0.2506683684113058,False,,0.96402764,-0.9640276,0.33721688,0.3420212,0.34267458,0.34336492,0.3402366,0.3451758,0.34507662,0.3541877,0.35013726,0.3553203,0.3654199,0.36753616,0.376258,0.38307574,0.38473132,0.39443034,0.7694189,0.7851413,0.80613846,0.8298975,0.8474335,0.8782492,0.90398496,0.92882764,0.91073877,0.8718648,0.8515486,0.82663685,0.8084618,0.791748,0.7713576,0.7581194,0.74108726,0.7351808,0.7219344,0.7112099,0.44359574,0.43884918,0.43470684,0.43038926,0.42345354,0.42603365,0.4224153,0.4231605,0.42360935,0.4184585,0.41960955,0.42011455,0.42511803,0.42571908,0.42601174,0.43075258,0.4303368,0.4414323,0.44013137,0.714898,0.721519,0.73710454,0.7516065,0.7667162,0.7208673,0.19415842,0.18296583,0.17726375,0.17221883,0.16079111,0.15477197,0.15017806,0.14325993,0.1368256,0.13947402,0.13285637,0.1283876,0.12994494,0.12176524,0.11830508,0.11310608,0.11766439,0.11642778,0.11015324,0.114810996,0.113527216,0.10882908,0.10680533,0.10427097,0.106595114,0.103439115,0.10323552,0.09807821,0.108199894,0.10607124,0.100193076,0.10599254,0.105501235,0.10786493,0.10828207,0.10980785,0.10767751,0.10678264,0.10911237,0.107236154,0.113149524,0.113582514,0.114490226,0.121373415,0.1255823,0.11775664,0.12881833,0.12978774,0.13381281,0.13502982,0.13803488,0.14689612,0.15437838,0.5278144,0.50995713,0.49131057,0.487406,0.47238985,0.46400526,0.45641777,0.44526678,0.43999317,0.42701003,0.42490098,0.4188759,0.41781816,0.41594744,0.6840511,0.6886515,0.6842809,0.67479104,0.6784121,0.6753444,0.6705981,0.673598,0.6744823,0.6699587,0.67674124,0.6793564,0.68206704,0.6896549,0.69179577,0.7000219,0.6591677,0.60392296,0.55059224,0.5085395,0.4734383,0.44208357,0.45524743,0.4681937,0.8234512,0.8516206,0.8732905,0.9053381,0.9288836,0.9535392,0.9966798,1.0,1.0,1.0,0.75912714,0.73658556,0.721933,0.70681775,0.6992868,0.68716305,0.6778143,0.6629904,0.6556919,0.6498684,0.64500654,0.34896916,0.34598786,0.34531742,0.34430006,0.34034666,0.34200025,0.3368228,0.85545677,0.1483603,0.23583333
9,-0.2506683684113058,False,,0.96402764,-0.9640276,0.33721688,0.3420212,0.34267458,0.34336492,0.3402366,0.3451758,0.34507662,0.3541877,0.35013726,0.3553203,0.3654199,0.36753616,0.376258,0.38307574,0.38473132,0.39443034,0.7694189,0.7851413,0.80613846,0.8298975,0.8474335,0.8782492,0.90398496,0.92882764,0.91073877,0.8718648,0.8515486,0.82663685,0.8084618,0.791748,0.7713576,0.7581194,0.74108726,0.7351808,0.7219344,0.7112099,0.44359574,0.43884918,0.43470684,0.43038926,0.42345354,0.42603365,0.4224153,0.4231605,0.42360935,0.4184585,0.41960955,0.42011455,0.42511803,0.42571908,0.42601174,0.43075258,0.4303368,0.4414323,0.44013137,0.714898,0.721519,0.73710454,0.7516065,0.7667162,0.7208673,0.19415842,0.18296583,0.17726375,0.17221883,0.16079111,0.15477197,0.15017806,0.14325993,0.1368256,0.13947402,0.13285637,0.1283876,0.12994494,0.12176524,0.11830508,0.11310608,0.11766439,0.11642778,0.11015324,0.114810996,0.113527216,0.10882908,0.10680533,0.10427097,0.106595114,0.103439115,0.10323552,0.09807821,0.108199894,0.10607124,0.100193076,0.10599254,0.105501235,0.10786493,0.10828207,0.10980785,0.10767751,0.10678264,0.10911237,0.107236154,0.113149524,0.113582514,0.114490226,0.121373415,0.1255823,0.11775664,0.12881833,0.12978774,0.13381281,0.13502982,0.13803488,0.14689612,0.15437838,0.5278144,0.50995713,0.49131057,0.487406,0.47238985,0.46400526,0.45641777,0.44526678,0.43999317,0.42701003,0.42490098,0.4188759,0.41781816,0.41594744,0.6840511,0.6886515,0.6842809,0.67479104,0.6784121,0.6753444,0.6705981,0.673598,0.6744823,0.6699587,0.67674124,0.6793564,0.68206704,0.6896549,0.69179577,0.7000219,0.6591677,0.60392296,0.55059224,0.5085395,0.4734383,0.44208357,0.45524743,0.4681937,0.8234512,0.8516206,0.8732905,0.9053381,0.9288836,0.9535392,0.9966798,1.0,1.0,1.0,0.75912714,0.73658556,0.721933,0.70681775,0.6992868,0.68716305,0.6778143,0.6629904,0.6556919,0.6498684,0.64500654,0.34896916,0.34598786,0.34531742,0.34430006,0.34034666,0.34200025,0.3368228,0.85545677,0.1483603,0.23583333
